epoch,train_loss,val_mIoU,best_iou,epoch_time_s
585,0.072949,0.540653,0.695176,34.00
586,0.072573,0.628438,0.695176,30.96
587,0.071045,0.644736,0.695176,30.48
588,0.074317,0.635396,0.695176,30.42
589,0.074608,0.642834,0.695176,29.14
590,0.076526,0.615208,0.695176,32.62
591,0.073545,0.626146,0.695176,31.58
592,0.075175,0.657356,0.695176,29.42
593,0.073785,0.675625,0.695176,29.63
594,0.073533,0.646664,0.695176,30.47
595,0.073767,0.649979,0.695176,30.36
596,0.076123,0.647930,0.695176,28.96
597,0.076351,0.668584,0.695176,30.18
598,0.073105,0.603059,0.695176,32.53
599,0.073872,0.638957,0.695176,30.36
600,0.073765,0.667927,0.695176,28.80
601,0.074595,0.666543,0.695176,29.96
602,0.075518,0.591205,0.695176,31.97
603,0.071517,0.654135,0.695176,28.53
604,0.074347,0.596483,0.695176,33.20
605,0.071919,0.533582,0.695176,32.41
606,0.073580,0.435762,0.695176,38.95
607,0.073142,0.637836,0.695176,29.74
608,0.077421,0.582560,0.695176,32.90
609,0.076879,0.675750,0.695176,28.66
610,0.074164,0.673214,0.695176,28.87
611,0.070814,0.564830,0.695176,32.98
612,0.072121,0.638791,0.695176,29.32
613,0.073544,0.640547,0.695176,31.56
614,0.071989,0.647487,0.695176,29.84
615,0.071809,0.675922,0.695176,29.44
616,0.074730,0.611359,0.695176,32.33
617,0.073871,0.602834,0.695176,29.84
618,0.074281,0.624186,0.695176,32.61
619,0.071794,0.649372,0.695176,29.77
620,0.072196,0.533089,0.695176,34.44
621,0.073528,0.635054,0.695176,30.76
622,0.071795,0.457626,0.695176,29.40
623,0.072363,0.524521,0.695176,34.14
624,0.074616,0.646685,0.695176,31.35
625,0.075863,0.618237,0.695176,31.08
